term,n,freq,doc_freq,PMI,LRent,in_reference,status
gã khổng lồ,3,4,4,23.04,2.426,False,new
Wall Street Journal,3,5,5,22.1,3.134,False,new
"Á: Cu ba,",3,3,3,22.1,2.396,False,new
Hyundai Santa Fe,3,3,2,21.828,3.497,False,new
xôi sầu riêng...,3,3,3,21.577,2.301,False,new
Thung lũng Silicon,3,5,4,21.461,3.078,False,new
Lost In White,3,4,2,21.358,2.154,False,new
ươm Topica Founder,3,4,2,21.354,3.539,False,new
"Hà, Đen Vâu,",3,3,3,21.347,2.384,False,new
nhiều! Im lặng,3,4,2,21.289,2.533,False,new
Indian Premier League,3,4,2,21.235,2.649,False,new
bật mí rằng,3,3,3,21.216,4.008,False,new
Già Lắm Chiêu,3,11,2,21.209,2.993,False,new
đánh dấu sự,3,4,4,21.135,3.67,False,new
Valerie Abou Chacra,3,8,3,21.117,4.549,False,new
Địa chỉ: Tầng,3,3,2,21.066,4.698,False,new
Gái Già Lắm,3,9,2,21.027,2.398,False,new
Fomalia XR Studio,3,4,2,20.995,4.061,False,new
để tránh nhầm,3,4,2,20.857,3.391,False,new
sầu riêng... 5.,3,3,3,20.83,3.818,False,new
Yến Phá Nhạc.,3,4,2,20.817,2.58,False,new
Địch Lệ Nhiệt,3,6,3,20.728,3.935,False,new
Vân Đồn (Quảng,3,4,2,20.718,2.834,False,new
Premier League (Giải,3,6,2,20.696,2.219,False,new
Balade En France,3,8,4,20.629,4.215,False,new
"(244 Pasteur, Quận",3,8,3,20.596,3.125,False,new
Michael W. Young.,3,6,2,20.596,3.683,False,new
Relic (Tàn Tích,3,4,2,20.529,2.913,False,new
mô-men xoắn Nm,3,4,3,20.511,2.651,False,new
xì dầu... 8.,3,3,3,20.507,4.975,False,new
"Thổ Nhĩ Kỳ,",3,3,2,20.46,3.555,False,new
mô-men xoắn Nm.,3,5,3,20.442,2.997,False,new
Ngô Diệc Phàm,3,4,2,20.396,3.216,False,new
"C. Hall, Michael",3,7,3,20.362,2.915,False,new
mực chiên xì,3,3,3,20.348,4.213,False,new
"điểm hiện tại,",3,3,3,20.278,2.83,False,new
Taxi Xanh SM,3,6,4,20.24,3.175,False,new
Cua Lại Vợ,3,5,2,20.224,3.517,False,new
"cây, sữa, thịt",3,3,3,20.219,3.736,False,new
8. Cape Town,3,3,3,20.219,3.07,False,new
Bà Rịa Vũng,3,3,3,20.202,5.082,False,new
đỉnh Vitoria Peak,3,3,3,20.191,3.487,False,new
Tàn Tích Quỷ,3,11,2,20.172,4.092,False,new
Tích Quỷ Ám),3,4,2,20.172,2.911,False,new
chùa Vĩnh Nghiêm,3,4,2,20.124,3.268,False,new
khác để tránh,3,4,2,20.068,2.248,False,new
"Tự do, Toà",3,3,3,20.037,3.425,False,new
Thư Nhã Vọng,3,4,2,20.009,3.349,False,new
một lần nữa,3,3,2,20.002,4.424,False,new
"""Balade en France""",3,14,6,19.997,4.508,False,new
Yoon Tae Yi,3,5,2,19.99,4.166,False,new
Mật Của Gió,3,6,2,19.935,3.029,False,new
nhầm lẫn với,3,4,2,19.931,3.445,False,new
Úc Tess Alexander,3,3,2,19.931,4.731,False,new
"""gã khổng lồ""",3,3,2,19.905,2.485,False,new
Sun Life flagship,3,7,3,19.872,4.001,False,new
"khó khăn, thử",3,3,2,19.862,3.529,False,new
"lấm bẩn, OMO",3,4,4,19.854,2.538,False,new
"Thật Trở Lại"",",3,4,4,19.798,3.127,False,new
